date,humidity,pressure,tempC,winddirDegree,windspeedKmph
01-01-2015,74,1010,22,166,10
02-01-2015,72,1013,22,154,10
03-01-2015,75,1014,21,147,9
04-01-2015,71,1014,22,99,9
05-01-2015,69,1014,22,91,11
06-01-2015,65,1014,22,73,8
07-01-2015,62,1014,22,135,7
08-01-2015,60,1014,22,132,6
09-01-2015,65,1015,21,73,9
10-01-2015,48,1016,20,52,12
11-01-2015,42,1016,18,62,12
12-01-2015,51,1016,18,65,11
13-01-2015,51,1015,19,77,9
14-01-2015,54,1015,19,97,8
15-01-2015,57,1015,19,88,10
16-01-2015,65,1015,21,87,11
17-01-2015,62,1015,21,88,11
18-01-2015,57,1015,21,90,11
19-01-2015,60,1015,21,103,14
20-01-2015,64,1017,21,115,11
21-01-2015,64,1018,20,99,13
22-01-2015,58,1018,21,102,10
23-01-2015,68,1015,21,108,14
24-01-2015,71,1016,21,104,14
25-01-2015,60,1016,22,100,15
26-01-2015,62,1016,20,106,16
27-01-2015,67,1015,20,105,15
28-01-2015,68,1013,21,107,13
29-01-2015,68,1014,22,92,12
30-01-2015,64,1016,22,95,13
31-01-2015,55,1016,22,89,16
01-02-2015,60,1016,21,94,13
02-02-2015,65,1017,20,101,17
03-02-2015,63,1019,20,93,16
04-02-2015,58,1018,20,93,14
05-02-2015,50,1016,21,95,14
06-02-2015,47,1016,22,106,14
07-02-2015,53,1015,21,106,13
08-02-2015,49,1014,22,99,12
09-02-2015,54,1015,21,104,16
10-02-2015,56,1016,20,98,14
11-02-2015,54,1015,21,83,11
12-02-2015,56,1014,22,69,11
13-02-2015,48,1014,23,65,10
14-02-2015,42,1013,24,72,10
15-02-2015,40,1013,24,101,11
16-02-2015,43,1014,23,100,11
17-02-2015,39,1014,23,86,10
18-02-2015,40,1013,23,113,10
19-02-2015,42,1013,23,136,11
20-02-2015,45,1013,23,105,15
21-02-2015,42,1014,22,90,17
22-02-2015,40,1014,23,90,16
23-02-2015,31,1015,22,93,16
24-02-2015,29,1013,22,101,14
25-02-2015,32,1012,23,101,8
26-02-2015,40,1011,24,164,8
27-02-2015,49,1011,25,211,9
28-02-2015,68,1011,24,149,11
01-03-2015,69,1011,24,160,14
02-03-2015,69,1013,24,170,8
03-03-2015,67,1013,24,177,6
04-03-2015,65,1012,24,175,8
05-03-2015,63,1013,25,121,10
06-03-2015,64,1014,25,101,9
07-03-2015,64,1014,24,123,9
08-03-2015,62,1015,24,121,15
09-03-2015,60,1016,24,114,14
10-03-2015,68,1014,22,104,12
11-03-2015,47,1012,25,128,12
12-03-2015,52,1012,25,124,11
13-03-2015,55,1012,25,126,10
14-03-2015,54,1012,26,128,11
15-03-2015,56,1012,25,135,10
16-03-2015,54,1012,25,132,10
17-03-2015,50,1012,26,122,10
18-03-2015,46,1012,26,120,11
19-03-2015,38,1012,26,111,15
20-03-2015,36,1014,26,108,15
21-03-2015,33,1015,26,107,15
22-03-2015,30,1013,27,113,13
23-03-2015,34,1012,28,107,11
24-03-2015,40,1010,28,119,13
25-03-2015,44,1011,27,125,15
26-03-2015,45,1013,27,107,14
27-03-2015,44,1014,26,100,14
28-03-2015,44,1013,26,110,12
29-03-2015,48,1011,26,114,12
30-03-2015,45,1011,26,125,12
31-03-2015,54,1012,27,131,10
01-04-2015,57,1011,27,129,10
02-04-2015,50,1010,28,173,9
03-04-2015,48,1009,28,248,7
04-04-2015,40,1007,29,103,9
05-04-2015,43,1007,29,184,9
06-04-2015,50,1008,28,170,8
07-04-2015,51,1009,28,141,9
08-04-2015,51,1010,28,155,12
09-04-2015,54,1011,28,147,11
10-04-2015,49,1011,28,131,10
11-04-2015,47,1012,28,175,5
12-04-2015,58,1013,26,120,8
13-04-2015,44,1009,28,141,9
14-04-2015,47,1009,28,155,9
15-04-2015,48,1009,28,169,8
16-04-2015,56,1013,26,107,8
17-04-2015,52,1012,26,161,7
18-04-2015,52,1009,26,112,8
19-04-2015,50,1009,27,106,12
20-04-2015,55,1011,27,118,11
21-04-2015,58,1011,27,142,13
22-04-2015,55,1010,28,192,7
23-04-2015,58,1010,28,193,9
24-04-2015,53,1011,28,210,8
25-04-2015,56,1011,27,205,7
26-04-2015,55,1011,27,120,9
27-04-2015,57,1012,26,133,11
28-04-2015,52,1009,28,200,8
29-04-2015,51,1011,28,197,9
30-04-2015,49,1011,28,191,9
01-05-2015,46,1010,29,181,9
02-05-2015,52,1010,28,224,9
03-05-2015,53,1010,28,254,5
04-05-2015,51,1010,28,132,10
05-05-2015,55,1009,27,135,8
06-05-2015,54,1009,28,183,9
07-05-2015,57,1010,28,178,6
08-05-2015,51,1009,29,159,8
09-05-2015,47,1007,29,192,9
10-05-2015,48,1008,29,161,9
11-05-2015,53,1010,27,152,9
12-05-2015,51,1010,27,82,9
13-05-2015,75,1009,23,117,11
14-05-2015,70,1010,25,97,10
15-05-2015,71,1009,26,131,8
16-05-2015,76,1009,25,168,7
17-05-2015,73,1007,26,291,7
18-05-2015,69,1008,27,277,10
19-05-2015,68,1008,27,251,13
20-05-2015,56,1009,28,256,12
21-05-2015,65,1009,28,252,18
22-05-2015,66,1009,28,253,17
23-05-2015,64,1009,27,264,18
24-05-2015,62,1009,28,263,17
25-05-2015,53,1009,28,273,16
26-05-2015,51,1009,28,260,15
27-05-2015,59,1008,28,247,17
28-05-2015,57,1007,28,271,14
29-05-2015,64,1007,27,252,12
30-05-2015,52,1008,29,224,10
31-05-2015,61,1007,28,251,14
01-06-2015,65,1007,27,237,11
02-06-2015,69,1009,26,274,11
03-06-2015,64,1007,27,236,8
04-06-2015,70,1008,26,205,7
05-06-2015,66,1009,26,237,8
06-06-2015,62,1008,27,231,10
07-06-2015,61,1008,27,235,13
08-06-2015,60,1008,26,236,14
09-06-2015,69,1009,25,257,16
10-06-2015,64,1008,26,263,14
11-06-2015,64,1008,26,253,14
12-06-2015,69,1009,25,260,13
